entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,exit_reason,entry_spread,pnl_points,r_multiple,return_pct,session_hour_utc,session_hour
2026-01-02 03:05:00,2026-01-02 07:56:00,1,4364.530981060606,4382.269038860467,4355.93405923519,4382.269038860467,target,0.8019621212121103,17.738057799861053,2.0633033730073533,2.0633033730073533,3,3
2026-01-02 08:00:00,2026-01-02 13:14:00,1,4383.34705,4399.319604202043,4375.605796623982,4399.319604202043,target,0.8470999999999737,15.972554202042375,2.0633033730073387,2.0633033730073387,7,7
2026-01-02 13:15:00,2026-01-02 13:20:00,1,4400.2293257425745,4391.222983386509,4391.222983386509,4418.812142304302,stop,0.8286514851485564,-9.006342356065034,-1.0,-1.0,13,13
2026-01-02 13:25:00,2026-01-02 15:04:00,-1,4381.025137864078,4347.559369878663,4397.244647037194,4347.559369878663,target,1.0727242718446788,33.46576798541446,2.063303373007331,2.063303373007331,13,13
2026-01-02 15:05:00,2026-01-04 23:00:00,-1,4342.135168717047,4354.225,4364.13907844673,4296.734427552443,time,0.709662565905085,-12.089831282953128,-0.5494401418418862,-0.5494401418418862,15,15
2026-01-05 03:05:00,2026-01-05 04:00:00,1,4412.156097789116,4398.609529537364,4398.609529537364,4440.106777755629,stop,0.6521955782313003,-13.546568251751523,-1.0,-1.0,3,3
2026-01-05 05:30:00,2026-01-05 05:43:00,1,4413.026833333333,4406.144431020499,4406.144431020499,4427.227317239798,stop,0.7936666666666866,-6.882402312834529,-1.0,-1.0,5,5
2026-01-05 05:45:00,2026-01-05 06:00:00,-1,4401.512305845512,4413.181359292914,4413.181359292914,4377.435508507684,stop,0.8083883089770314,-11.669053447401893,-1.0,-1.0,5,5
2026-01-05 06:15:00,2026-01-05 12:43:00,1,4418.672729850747,4407.358537840515,4407.358537840515,4442.017340388311,stop,0.761459701492529,-11.314192010231636,-1.0,-1.0,6,6
2026-01-05 12:45:00,2026-01-05 14:00:00,-1,4409.712435943061,4419.903619945846,4419.903619945846,4388.684931615176,stop,0.5851281138789787,-10.191184002785121,-1.0,-1.0,12,12
2026-01-05 14:05:00,2026-01-05 15:00:00,1,4422.997167053364,4443.989023593412,4412.823260096846,4443.989023593412,target,0.7073341067285612,20.991856540047593,2.0633033730073946,2.0633033730073946,14,14
2026-01-06 03:15:00,2026-01-06 05:56:00,1,4463.1312809090905,4453.403167212208,4453.403167212208,4483.203330712867,stop,0.7655618181818054,-9.728113696882247,-1.0,-1.0,3,3
2026-01-06 06:00:00,2026-01-06 06:56:00,-1,4452.116371757925,4466.813454893419,4466.813454893419,4421.791830551091,stop,0.8272564841498559,-14.697083135493813,-1.0,-1.0,5,5
2026-01-06 07:00:00,2026-01-06 07:55:00,1,4466.3843194444435,4459.445994060793,4459.445994060793,4480.700189611552,stop,0.8116388888888966,-6.938325383650408,-1.0,-1.0,6,6
2026-01-06 08:00:00,2026-01-06 08:20:00,-1,4459.113419618529,4466.871495381704,4466.871495381704,4443.106155728324,stop,0.8131607629427826,-7.758075763174929,-1.0,-1.0,7,7
2026-01-06 08:25:00,2026-01-06 09:09:00,1,4469.8043792517,4461.3302153866125,4461.3302153866125,4487.289150137953,stop,0.8117585034013951,-8.474163865087576,-1.0,-1.0,8,8
2026-01-06 09:10:00,2026-01-06 10:03:00,-1,4461.165989425982,4443.959834144697,4469.50511953471,4443.959834144697,target,0.92502114803633,17.206155281284737,2.063303373007327,2.063303373007327,9,9
2026-01-07 03:20:00,2026-01-07 04:12:00,1,4480.404395899053,4469.38414100494,4469.38414100494,4503.142524993478,stop,0.8287917981072637,-11.02025489411335,-1.0,-1.0,3,3
2026-01-07 04:20:00,2026-01-07 05:43:00,-1,4468.1749587378645,4451.26477390563,4476.370643896653,4451.26477390563,target,0.8240825242719173,16.910184832234336,2.063303373007353,2.063303373007353,4,4
2026-01-07 05:50:00,2026-01-07 08:09:00,-1,4447.72643125,4465.708199142492,4465.708199142492,4410.624588904786,stop,0.8271374999999899,-17.981767892491916,-1.0,-1.0,5,5
2026-01-07 08:10:00,2026-01-07 11:26:00,1,4466.174034042553,4456.048320951942,4456.048320951942,4487.066452016516,stop,0.6680680851063563,-10.125713090611498,-1.0,-1.0,8,8
2026-01-07 11:30:00,2026-01-07 12:18:00,-1,4458.876898148148,4442.595709151375,4466.767734372122,4442.595709151375,target,0.6732037037036543,16.28118899677338,2.063303373007368,2.063303373007368,11,11
2026-01-07 12:20:00,2026-01-07 12:32:00,-1,4442.149350332594,4454.118933453243,4454.118933453243,4417.452469106266,stop,0.5812993348115666,-11.969583120649077,-1.0,-1.0,12,12
2026-01-08 04:30:00,2026-01-08 05:16:00,-1,4436.301387850467,4424.897379090173,4441.828451349458,4424.897379090173,target,0.7702242990654438,11.404008760294346,2.063303373007393,2.063303373007393,4,4
2026-01-08 05:45:00,2026-01-08 06:32:00,-1,4418.415296229803,4433.625234844,4433.625234844,4387.032578583895,stop,0.7794075403949716,-15.209938614197199,-1.0,-1.0,5,5
2026-01-08 06:35:00,2026-01-08 08:43:00,1,4432.596909240924,4419.52318646599,4419.52318646599,4459.571965540209,stop,0.8268184818481873,-13.07372277493414,-1.0,-1.0,6,6
2026-01-08 10:20:00,2026-01-08 10:33:00,-1,4424.0667021276595,4431.132104733206,4431.132104733206,4409.488633099981,stop,0.686595744680899,-7.065402605546296,-1.0,-1.0,10,10
2026-01-08 12:05:00,2026-01-08 12:33:00,-1,4416.847010893246,4426.144107751644,4426.144107751644,4397.664279586138,stop,0.6659782135076218,-9.297096858397708,-1.0,-1.0,12,12
2026-01-08 12:40:00,2026-01-08 16:32:00,1,4428.543450236967,4458.287776791703,4414.127573762446,4458.287776791703,target,0.676900473933658,29.74432655473629,2.063303373007379,2.063303373007379,12,12
2026-01-09 03:10:00,2026-01-09 06:30:00,-1,4465.145706030151,4474.272305721426,4474.272305721426,4446.314762103055,stop,0.638587939698523,-9.12659969127526,-1.0,-1.0,3,3
2026-01-09 06:35:00,2026-01-09 08:02:00,1,4475.059987234043,4467.1943845908045,4467.1943845908045,4491.289111698571,stop,0.6499744680851166,-7.865602643238162,-1.0,-1.0,6,6
2026-01-09 08:10:00,2026-01-09 08:51:00,1,4474.580518867924,4464.55687674803,4464.55687674803,4495.262333463721,stop,0.611037735849125,-10.023642119894248,-1.0,-1.0,8,8
