date,trades,daily_return_pct,avg_spread,net_r,equity_pct,drawdown_pct
2026-01-02,4,5.189910119022024,0.8876094695513298,5.189910119022024,5.189910119022024,0.0
2026-01-04,1,-0.5494401418418862,0.709662565905085,-0.5494401418418862,4.640469977180137,-0.5494401418418864
2026-01-05,6,-2.9366966269926054,0.7180287459958478,-2.9366966269926054,1.7037733501875318,-3.4861367688344918
2026-01-06,6,-2.936696626992673,0.8257329342668442,-2.936696626992673,-1.232923276805141,-6.422833395827165
2026-01-07,6,0.12660674601472088,0.733763824333458,0.12660674601472088,-1.1063165307904201,-6.296226649812444
2026-01-08,6,0.12660674601477195,0.7343207922384636,0.12660674601477195,-0.9797097847756482,-6.169619903797672
2026-01-09,6,-6.0,0.6673093890181591,-6.0,-6.979709784775649,-12.169619903797672
2026-01-12,6,-2.9366966269926196,0.6258316660901267,-2.9366966269926196,-9.916406411768268,-15.106316530790291
2026-01-13,4,-0.9366966269926715,0.7080828485186695,-0.9366966269926715,-10.853103038760938,-16.043013157782962
2026-01-14,7,-7.0,0.6658148596118659,-7.0,-17.85310303876094,-23.043013157782962
2026-01-15,3,-3.0,0.66831761710208,-3.0,-20.85310303876094,-26.043013157782962
2026-01-16,7,-7.0,0.6853107005501674,-7.0,-27.85310303876094,-33.043013157782966
2026-01-19,6,-6.0,0.646589414220155,-6.0,-33.853103038760935,-39.04301315778296
2026-01-20,5,7.253213492029289,0.6234153836971599,7.253213492029289,-26.599889546731646,-31.78979966575367
2026-01-21,4,2.126606746014709,0.6715621287558227,2.126606746014709,-24.473282800716937,-29.66319291973896
2026-01-22,4,5.913781831659074,0.5738021433081584,5.913781831659074,-18.559500969057865,-23.74941108807989
2026-01-23,6,-2.9366966269926142,0.6349768501597813,-2.9366966269926142,-21.49619759605048,-26.686107715072502
2026-01-26,2,-2.0,0.5510821737446632,-2.0,-23.49619759605048,-28.686107715072502
2026-01-27,4,-0.93669662699264,0.6650353989120491,-0.93669662699264,-24.432894223043117,-29.62280434206514
2026-01-28,6,-2.936696626992645,0.7230737182869529,-2.936696626992645,-27.369590850035763,-32.55950096905779
2026-01-29,6,-2.936696626992631,0.8310234046653345,-2.936696626992631,-30.306287477028395,-35.49619759605042
2026-01-30,6,3.1899101190220653,2.42598653901925,3.1899101190220653,-27.11637735800633,-32.30628747702835
2026-02-02,3,3.1266067460147116,3.2684503912551723,3.1266067460147116,-23.989770611991617,-29.17968073101364
2026-02-03,5,1.1266067460147196,1.2680878357105534,1.1266067460147196,-22.863163865976897,-28.05307398499892
2026-02-04,5,4.1899101190220795,1.2095851769243917,4.1899101190220795,-18.673253746954817,-23.86316386597684
2026-02-05,5,-5.0,1.5977711362198974,-5.0,-23.673253746954817,-28.86316386597684
2026-02-06,5,1.1266067460147093,1.2801568157316794,1.1266067460147093,-22.54664700094011,-27.736557119962132
2026-02-08,1,1.0708340432031842,0.9243181049069342,1.0708340432031842,-21.475812957736924,-26.665723076758947
2026-02-09,6,-6.0,0.928580651963996,-6.0,-27.475812957736924,-32.66572307675895
2026-02-10,5,-5.0,0.8589814670353011,-5.0,-32.47581295773692,-37.665723076758944
2026-02-11,4,-0.9366966269926613,0.957314092010565,-0.9366966269926613,-33.412509584729584,-38.60241970375161
2026-02-12,5,-0.8553311628058049,0.8713800741082862,-0.8553311628058049,-34.26784074753539,-39.45775086655741
2026-02-13,2,-1.770223069401808,1.265328906092475,-1.770223069401808,-36.038063816937196,-41.22797393595922
2026-02-15,1,0.2528444179079974,0.8492494382022742,0.2528444179079974,-35.7852193990292,-40.975129518051226
2026-02-16,4,-0.9366966269926604,0.8390275245752036,-0.9366966269926604,-36.721916026021866,-41.91182614504389
2026-02-17,7,2.189910119022051,0.9867936739331558,2.189910119022051,-34.532005906999814,-39.72191602602184
2026-02-18,6,3.1899101190220334,0.7704685131086086,3.1899101190220334,-31.34209578797778,-36.5320059069998
2026-02-19,6,3.189910119022135,0.784658529330344,3.189910119022135,-28.152185668955646,-33.34209578797767
2026-02-20,6,0.126606746014704,0.846680085920854,0.126606746014704,-28.02557892294094,-33.21548904196297
2026-02-23,5,4.189910119022063,0.7287063227371775,4.189910119022063,-23.835668803918878,-29.025578922940902
2026-02-24,6,0.12660674601469513,0.7612610030051519,0.12660674601469513,-23.709062057904184,-28.898972176926208
2026-02-25,5,-1.9366966269925987,0.8144522321642423,-1.9366966269925987,-25.645758684896784,-30.835668803918807
2026-02-26,3,0.06330337300732847,0.8628170561974574,0.06330337300732847,-25.582455311889454,-30.772365430911478
2026-02-27,4,1.3130380922119804,0.824971681501651,1.3130380922119804,-24.269417219677475,-29.4593273386995
